Chemical,CAS No.,"Pos ""/""",CAS No. cleaned,"Number ""-""","Chem
Agora
Link","Che
LIST",CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,Ames Overall ,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MLA Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MN Overall ,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro CA Overall ,+,-,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo MN Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo CA Overall,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo UDS Overall," Kirkland et al 2005 & 2011 [1, 2]*",EFSA,ECHA,SCCS,ISSTox,Literature & Notes,transgenic Overall," Kirkland et al 2005 & 2011 [1, 2]*",CosE,SCCS,EFSA,GSK,ECHA,Literature & Notes,in vivo DNA damage Overall,+,-,,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,CARC Overall ,, (a)
Ethyl methanesulphonate,62-50-0,0,62-50-0,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,+,,,,,,,+,4,0,,,,,+,,,,,,,,,,+,,
N-Ethyl-N'-nitro-N-nitroguanidine - [1-Ethyl-2-nitro-1-nitroso-guanidine],63885-23-4,0,63885-23-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Ethylnitrosocyanamide,38434-77-4,0,38434-77-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
1-Ethyl-1-nitrosourea,759-73-9,0,759-73-9,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,+,,,,,,,+,4,0,,,,,+,,,,,,,,,,+,,
Etoposide,33419-42-0,0,33419-42-0,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,-,,,,,,-,+,,,,,,,+,3,1,,,,,,,,,,,,,,,,,
FD&C Green 3 [AKA food green 3],2353-45-9,0,2353-45-9,2,»,»,,,,E,,,,,,,,,,E,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,E,,,,,,,,,,E,0,0,,,E,,,,,,,,,,E,,+,,,,,,,,,,+,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
FD&C Violet 1 (AKA Benzyl Violet 4B),1694-09-3,0,1694-09-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Fenitrothion,122-14-5,0,122-14-5,2,»,»,,,,,,+,,,,,,,,+,,,,,- Hprt,,,,,,,,- Hprt,,,,,,,,,,,,,,,,,,-,,,,,,,,-,0,2,,,,,-,,,,,,,,-,,,,-,,,,,,,,-,,,,-,,,,,,,,-,,,,,,,,,,,,,,,,0,3,,,,,,,-,,,,,,,,-,,
Fenthion,55-38-9,0,55-38-9,2,»,»,,,,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,,,,,,,,,E,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,E,,,,,,,,,E,,
Ferrous sulfate,7720-78-7,0,7720-78-7,2,»,»,,,,+,,,,,,,,,,+,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,1,0,,,,,,,,,,,,,,,,,
5-Fluoroquinoline,394-69-4,0,394-69-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,+,,,,,,,,,+ [209],+,,
Formaldehyde,50-00-0,0,50-00-0,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,E,,,,,,,,,,E,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,,+,,
Formic acid 2-[4-(5-nitro-2-furyl)-2-thiazolyl]hydrazide,3570-75-0,0,3570-75-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,-,,,,,,,,- [133],-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,,+,,
Fotemustine,92118-27-9,0,92118-27-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Furfural,98-01-1,0,98-01-1,2,»,»,,,,E,E,,,,,,,,Weak + or - [49],E,,,+,+,,+,,,,,,,+,,,,,,,,,,,,,,,,+,+,,+,,,,,,,+,2,0,,,,,,,,,,,,,,,E,,,-,,,,,,,E,,-,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,1,,,,,+,+,,+,,,,,,,+,,
Furylfuramide (AF-2),3688-53-7,0,3688-53-7,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,+,(+/-) M Rats,,,,,,,,"+ [116, 147]; - [133]",+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
Galangin,548-83-4,0,548-83-4,2,»,»,,,,+,,,,,,,,,,+,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,weak +,,,,,,,,,,weak +,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"Glutaral; Glutaric dialdehyde solution, Pentane-1,5-dial ; protectol GDA; glutaraldehyde
",111-30-8,0,111-30-8,2,»,»,+,-,+,,+,,,,+,,+,,,+,,,U,+,,,,,,+,,,+,,,,,,,,,,,,,+,+,+,,E,,,,+,,+,,,+,2,0,,-,,-,,,,-,,-,,,-,,,,,,,,,I,,,I,,,,,,-,,,-,,,-,,,,,,,,,,,,,I,,I,0,2,,not listed,(-) Rats & Mice,,,-,,,,,,-,,,-,,
Gentian violet (AKA Hexamethyl-p-rosaniline chloride) Crystal Violet,548-62-9,0,548-62-9,2,»,»,,,,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Glycidaldehyde,765-34-4,0,765-34-4,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Glycidamide,5694-00-8,0,5694-00-8,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,+,,,,,,,,,,+,+,,,,,,+,,,,,,,,,3,0,,,,,,,,,,,,,,,,,
Glycidyl 1-naphthyl ether R- and S-isomers,56715-28-7/  61249-00-1,11,56715-28-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Glycidyl 4-nitrobenzoate R- and S-isomers,106268-95-5/  115459-65-9,12,106268-95-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Glycidyl 4-nitrophenyl ether R- and S-isomers,125279-81-4/  125279-82-5,12,125279-81-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Glycidol,556-52-5,0,556-52-5,2,»,»,+,+,+,+,+,,,,,,,,,+,,+,+,+,,,,,,,,,+,,,,,,,,,,,,,+,+,+,+,+,,,,,,,,,+,2,0,,+,,+,,,,,,,,,+,,+,,,,,,,,,+ [158],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,2A,(+) Rats & Mice,,+,+,,,,,,,,,+,,
Glyoxal (40% in water),107-22-2,0,107-22-2,2,»,»,+,+,+,,+,,+,,+,,,,+ [50],+,,+ Tk; - Hprt,,,,+,,+ Hprt,,,,+ [113],+,,,,,,,,,,,,,+,+,+,,,,+,,+,,,,,+,2,0,,-,,,,-,,-,,,,,-,,,,,,,,,,,,,(-) liver;     (+) stomach,(-) liver;     (+) stomach,,,(-) liver;     (+) stomach,,-,,,,,E,,,,,,,,,,(+) liver; stomach,,,,alkaline elution,+,1,1,,not listed,not listed,,,,,E,,-,,,,"New 2-year rat study from BASF should clarify concerns of SCCS, where opinion was based on mouse dermal study only (both negative) and possible tumour-promotion activity in rats.",-,,
HC Blue 2 -   COLIPA B037,33229-34-4,0,33229-34-4,2,»,»,,,,+,+,,+,+,,,,,+ [51],+,,,U,+,,E,Tk (+l.a.); -Hprt ,,,,,,+,,,,,+,+,,,,,,+,,,,-,-,,-,-,,,,,,-,2,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,-,-,,-,-,,,,,,-,,CosE: SHE 24h (-)
HC Blue 7 -   COLIPA A130,83732-72-3/ 90817-34-8 (base),11,83732-72-3,2,»,»,,,,,,,+,,,,,,+ [52],+,,,,,,E,,,,,,E [52]; (b) from - call to E call,E,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,-,,,,,,,-,,,,,-,,,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,
HC Blue 12 - COLIPA B073,104576-93-0(base)/132885-85-9 ,18,104576-93-0(base),2,»,»,,,,,,,+,+,,,,,+ [53],+,,,,,,+,+,,,,,,+,,,,,+,+,,,,,,+,,,,,,,,,,,,,,,2,0,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,-,,,,,,-,0,3,,,,,,,,,,,,,,,,,
HC Blue 14 -  COLIPA C172,99788-75-7,0,99788-75-7,2,»,»,,,,,,,+,,,,,,+ [54],+,,,,,,- Hprt,,,,,,,- Hprt,,,,,,,,,,,,,,,,,,,E,,,,,,,E,0,1,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
HC Green 1 - COLIPA C129,52136-25-1,0,52136-25-1,2,»,»,,,,,,,+,,,,,,+ [55],+,,,,,,+,,,,,,,+,,,,,,,,,,,,,,,,,,,+,,,,,,,+,2,0,,,,,,E,,,,,," E [55] Negative result was questioned by SCCS, (-) bone marrow toxicity could have masked +ve response. Seems a good -ve result.",-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
HC Orange 3 - COLIPA B68,81612-54-6,0,81612-54-6,2,»,»,,,,,,,+,,,,,,+ [56],+,,,,,,I,,,,,,I [56]; (b) from - call to I call,I,,,,,,,,,,,,,,,,,,,-,,,,,,,-,0,1,,,,,,I,,,,,,,I,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
HC Red 3 -  COLIPA B050,2871-01-4,0,2871-01-4,2,»,»,,,,,+,,+,+,,,,,+ [57],+,,,E,+,,-,-,,,,,,E,,,,,,,,,,,,,,,,,+,,-,-,,,,,,E,0,0,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,-,0,2,,,,,,,,,I,,,,,,I,,CosE= [BigBlue (-)]
HC Red 7 - COLIPA B036,24905-87-1,0,24905-87-1,2,»,»,,,,,,,+,+,,,,,+ [58],+,,,,,,-,+ Tk; - Hprt,,,,,- [110] criteria,-,,,,,+,+,,,,,,+,,,,,,,E,,,,,,,E,1,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
HC Red 10+11 (mixture) COLIPA B071,95576-89-9 (red10)/  95576-92-4(red11),19,95576-89-9 (red10),2,»,»,,,,,,,+,+,,,,,+ [59],+,,,,,,+,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,"CosE= [ Mice spot (-), SHE (-)]"
HC violet 1 - COLIPA B066,82576-75-8,0,82576-75-8,2,»,»,,,,,,,+,,,,,,+ [60],+,,,,,,- Hprt,,,,,,,- Hprt,,,,,-,,,,,,,-,,,,,,,-,,,,,,,-,0,3,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
HC Yellow 4 - COLIPA B038,59820-43-8,0,59820-43-8,2,»,»,,,,+,+,,+,+ l.a.,,,,,+ [61],+,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,-,-,,+,+,,,,,,E,0,1,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,-,E,,,(-) Rats & Mice,,,,,,I,,dominant/lethal
HC Yellow 11 - COLIPA B063,73388-54-2,0,73388-54-2,2,»,»,,,,,,,+,,,,,,+ [62],+,,,,,,+,,,,,,,+,,,,,,,,,,,,,,,,,,,+,,,,,,,+,2,0,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
HC Yellow No. 2 submission II COLIPA B041,4926-55-0,0,4926-55-0,2,»,»,,,,,,,,+,,,,,+ [63],+,,,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,,+,2,0,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,CosE= UDS in vitro (-) 
Heliothrine,303-33-3,0,303-33-3,2,»,»,,,,+,,,,,,,,,,+,,,U,,,,,,,,,,I,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"2,4-Hexadienal",142-83-6,0,142-83-6,2,»,»,,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,E,,,,,,,,- [148],E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,+,,,,,,,,+ [210],+,,
Hexamethylenetetramine,100-97-0,0,100-97-0,2,»,»,,,,+,E,,,,,,,,,+,,,+,,,,,,,,,+ [28],+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,,,,,,,,,,-,,
Hexamethylphosphoramide,680-31-9,0,680-31-9,2,»,»,,,,E,-,,,,,,,, + [64] (-) in S. typhimurium in 16-17 labs using varied protocols; weak + in E. coli ,E,,,E,+,,,,,,,,,E,,+,,,,,,,,,,+,,,,E,-,,,,,,,,,E,1,0,,,(-) Rats;       (+) Mice,(+) Mice,,,,,,,,+ [134],+,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,+,,,,,,,,,"+ [211, 212]",+,,
N-Hexylnitrosourea,18774-85-1,0,18774-85-1,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Hycanthone,3105-97-3,0,3105-97-3,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
Hycanthone methanesulfonate,23255-93-8,0,23255-93-8,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,,,,,,,,,,+,2,0,,,+,(+) Mice,,,,,,,,+ [134],+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,+,,,,,,,,,+ [213],+,,
"Hydrazine, hydrazine monohydrate and hydrazine sulphate",302-01-2/  7803-57-8/ 10334-93-2,9,302-01-2,2,»,»,+,+,+,+,,,,,,,,,+ [65],+,,+,+,,,,,,,,,"+ [114]; -[115,116]",E,,,,,,,,,,,,,+,+,+,+,,,,,,,,,,+,1,0,,+,+/-,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,,,1,1,,2B,(+) Rats & Mice,(+) Rats & Mice (drinking) MHLW,+,,,,,,,,,+ [65],+,,
Hydrazobenzene,122-66-7,0,122-66-7,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
Hydrogen Peroxide,7722-84-1,0,7722-84-1,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
N-Hydroxy-2-acetylaminofluorene,53-95-2,0,53-95-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
Hydroxybenzomorpholine - COLIPA A25,26021-57-8,0,26021-57-8,2,»,»,,,,,,,+,+,,,,,+ [66],+,,,,,,- Hprt,- Hprt,,,,,,- Hprt,,,,,,,,,,,,,,,,,,,-,-,,,,,,-,0,2,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,I,,,,,,,I,,
2-Hydroxyethyl acrylate,818-61-1,0,818-61-1,2,»,»,+,+,+,,,,,,,,+,,,+,,+,,,,,,,,+,,+ [117],+,+,,,,,,,,+,,+ [117],+,+,+,+,,,,,,,,E,,,+,3,0,,-,,,,,,,,,,,-,-,,,,,,,,I,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,+,not listed ,(+) Rats & Mice (drinking) MHLW,,,,,,,,I,,,+,,
2-Hydroxyethylamino-5-nitroanisole - COLIPA B52,66095-81-6,0,66095-81-6,2,»,»,,,,,,,+,+ l.a.,,,,,+ [67],+,,,,,,- Hprt,-,,,,,,- Hprt,,,,,+,+,,,,,,+,,,,,,,,,,,,,,,1,1,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
4-Hydroxyaminoquinoline-N-oxide,4637-56-3,0,4637-56-3,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
4-(2-Hydroxyethylamino)-2-(5-nitro-2-thienyl)quinazoline,33389-36-5,0,33389-36-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
"1-(2-Hydroxyethyl)-3-[(5-nitrofurfurylidene)
amino]-2-imidazolidinone",5036-03-3,0,5036-03-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
1-(2-Hydroxyethyl)-1-nitrosourea,13743-07-2,0,13743-07-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
2-Hydroxyethylhydrazine,109-84-2,0,109-84-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
2-Hydroxyethyl picramic acid - COLIPA B72,99610-72-7,0,99610-72-7,2,»,»,,,,,,,+,+,,,,,+ [68],+,,,,,,+,+,,,,,,+,,,,,,,,,,,,,,,,,,,,+ l.a.,,,,,,+,2,0,,,,,,-,-,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,-,,,,,,,,,-,,,,,,-,0,3,,,,,,,,,,,,,,,,,CosE= SHE (-)
6-Hydroxyindole - COLIPA A128,2380-86-1,0,2380-86-1,2,»,»,,,,,,,+,,,,,,+ [69],+,,,,,,- Hprt,,,,,, - [69]; (b) from E call to - call.,- Hprt,,,,,,,,,,,,,,,,,,,+,,,,,,,+,1,1,,,,,,,,,,,,,,,,,,-,,,,,,,-,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,-,,,,,,(-) Rats only; no test available in Mice,I,,
Hydroxypropyl acrylate,25584-83-2,0,25584-83-2,2,»,»,,,,,,,,,,,+,,+ [41],+,,,,,,,,,,I Hprt,,,I Hprt,,,,,,,,,,,,,,,,,,,,,,,+,,,+,1,0,,,,,,,,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,ND,,,,,
8-Hydroxyquinoline,148-24-3,0,148-24-3,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,-,-,,,,,,,,,-,,
alfa-Hydroxytamoxifen,97151-02-5,0,97151-02-5,2,»,»,,,,+M,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Hydroxyurea,127-07-1,0,127-07-1,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,+,,,,,,,,+ [132],+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
Hydroxyurethane,589-41-3,0,589-41-3,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
ICR 170,146-59-8,0,146-59-8,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Indomethacin,53-86-1,0,53-86-1,2,»,»,,,,E,-,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
